mode,asset,slot_min,mom_win_min,threshold_pct,signals,trades,win_rate,pnl,sharpe,max_dd_pct,final_capital,avg_daily_pnl,trading_days
idealistic,BTC,5,1,0.05,25521,25018,80.8,748483.8,44.41,13.9,749483.8,3598.4798,208
idealistic,BTC,5,1,0.08,15433,15433,83.8,508460.3,31.07,5.0,509460.3,2444.5207,208
idealistic,BTC,5,1,0.1,11230,11230,85.7,390293.0,27.35,4.8,391293.0,1932.1436,202
idealistic,BTC,5,1,0.12,8380,8380,86.9,301658.0,24.7,9.3,302658.0,1515.8693,199
idealistic,BTC,5,1,0.15,5582,5582,88.7,210776.2,20.92,6.4,211776.2,1069.9299,197
idealistic,BTC,5,1,0.2,2919,2919,90.7,116122.9,17.97,4.2,117122.9,631.1027,184
idealistic,BTC,5,1,0.25,1663,1663,92.0,68353.3,15.22,4.3,69353.3,397.4029,172
idealistic,BTC,5,1,0.3,1025,1025,92.8,42927.5,13.43,3.3,43927.5,275.1763,156
idealistic,BTC,5,1,0.4,432,432,95.6,19311.2,13.22,3.1,20311.2,155.7355,124
idealistic,BTC,5,1,0.5,203,203,95.1,8967.3,14.94,3.3,9967.3,96.4226,93
idealistic,BTC,5,2,0.05,29328,29328,86.2,1036304.8,52.12,7.9,1037304.8,4982.2346,208
idealistic,BTC,5,2,0.08,19069,19069,89.3,731887.9,34.98,4.6,732887.9,3535.6903,207
idealistic,BTC,5,2,0.1,14577,14577,90.7,580630.7,29.4,1.0,581630.7,2818.5956,206
idealistic,BTC,5,2,0.12,11366,11366,91.7,464170.6,25.93,1.2,465170.6,2264.2468,205
idealistic,BTC,5,2,0.15,7858,7858,93.3,332827.8,22.42,1.8,333827.8,1655.8597,201
idealistic,BTC,5,2,0.2,4507,4507,94.6,196993.7,18.94,2.7,197993.7,1015.4314,194
idealistic,BTC,5,2,0.25,2732,2732,95.8,122741.2,16.58,6.8,123741.2,678.1282,181
idealistic,BTC,5,2,0.3,1760,1760,96.4,80016.0,14.73,4.3,81016.0,462.5202,173
idealistic,BTC,5,2,0.4,800,800,97.0,36880.0,12.59,1.1,37880.0,242.6316,152
idealistic,BTC,5,2,0.5,402,402,98.0,18938.2,11.66,1.5,19938.2,161.865,117
idealistic,BTC,5,3,0.05,32164,32164,91.0,1289752.4,56.52,2.8,1290752.4,6200.7327,208
idealistic,BTC,5,3,0.08,22085,22085,93.8,947073.5,37.35,3.3,948073.5,4553.238,208
idealistic,BTC,5,3,0.1,17315,17315,94.8,759566.5,31.27,0.6,760566.5,3651.762,208
idealistic,BTC,5,3,0.12,13696,13696,95.6,612173.6,27.47,0.7,613173.6,2971.7165,206
idealistic,BTC,5,3,0.15,9786,9786,96.4,445092.6,23.6,0.7,446092.6,2203.4287,202
idealistic,BTC,5,3,0.2,5858,5858,97.6,273427.8,20.01,0.5,274427.8,1402.1938,195
idealistic,BTC,5,3,0.25,3642,3642,98.2,172222.2,17.44,0.6,173222.2,925.9258,186
idealistic,BTC,5,3,0.3,2389,2389,98.2,112899.9,15.23,0.5,113899.9,634.2691,178
idealistic,BTC,5,3,0.4,1117,1117,98.7,53444.7,12.7,0.8,54444.7,336.1302,159
idealistic,BTC,5,3,0.5,586,586,99.1,28272.6,12.67,0.6,29272.6,207.8868,136
idealistic,BTC,15,1,0.05,8828,1296,76.3,32933.6,16.72,8.8,33933.6,185.0202,178
idealistic,BTC,15,1,0.08,5350,1296,76.3,32933.6,16.72,8.8,33933.6,185.0202,178
idealistic,BTC,15,1,0.1,3835,1296,76.3,32933.6,16.72,8.8,33933.6,185.0202,178
idealistic,BTC,15,1,0.12,2839,1296,76.3,32933.6,16.72,8.8,33933.6,185.0202,178
idealistic,BTC,15,1,0.15,1867,1296,76.3,32933.6,16.72,8.8,33933.6,185.0202,178
idealistic,BTC,15,1,0.2,994,994,76.7,25605.4,15.6,9.0,26605.4,149.7392,171
idealistic,BTC,15,1,0.25,537,537,76.4,13666.7,14.2,5.1,14666.7,93.6075,146
idealistic,BTC,15,1,0.3,322,322,78.9,9010.2,14.09,6.6,10010.2,72.6629,124
idealistic,BTC,15,1,0.4,147,147,81.6,4517.7,13.23,4.4,5517.7,54.4301,83
idealistic,BTC,15,1,0.5,73,73,80.8,2184.3,14.93,7.1,3184.3,44.5776,49
idealistic,BTC,15,2,0.05,10240,2235,79.8,64638.5,20.97,7.3,65638.5,338.4215,191
idealistic,BTC,15,2,0.08,6742,2235,79.8,64638.5,20.97,7.3,65638.5,338.4215,191
idealistic,BTC,15,2,0.1,5083,2235,79.8,64638.5,20.97,7.3,65638.5,338.4215,191
idealistic,BTC,15,2,0.12,3965,2235,79.8,64638.5,20.97,7.3,65638.5,338.4215,191
idealistic,BTC,15,2,0.15,2705,2235,79.8,64638.5,20.97,7.3,65638.5,338.4215,191
idealistic,BTC,15,2,0.2,1536,1536,80.9,46117.6,20.44,4.4,47117.6,253.3934,182
idealistic,BTC,15,2,0.25,961,961,80.7,28685.1,17.66,9.3,29685.1,169.7343,169
idealistic,BTC,15,2,0.3,617,617,82.3,19394.7,16.62,4.7,20394.7,131.9367,147
idealistic,BTC,15,2,0.4,284,284,85.9,9944.4,16.27,7.1,10944.4,91.233,109
idealistic,BTC,15,2,0.5,136,136,86.0,4777.6,18.17,4.6,5777.6,62.8632,76
idealistic,BTC,15,3,0.05,11331,3376,82.3,105861.6,24.11,3.7,106861.6,529.308,200
idealistic,BTC,15,3,0.08,7873,3376,82.3,105861.6,24.11,3.7,106861.6,529.308,200
idealistic,BTC,15,3,0.1,6142,3376,82.3,105861.6,24.11,3.7,106861.6,529.308,200
idealistic,BTC,15,3,0.12,4883,3376,82.3,105861.6,24.11,3.7,106861.6,529.308,200
idealistic,BTC,15,3,0.15,3500,3376,82.3,105861.6,24.11,3.7,106861.6,529.308,200
idealistic,BTC,15,3,0.2,2105,2105,84.1,69955.5,21.56,3.0,70955.5,378.1378,185
idealistic,BTC,15,3,0.25,1301,1301,85.0,44379.1,19.26,2.9,45379.1,250.7294,177
idealistic,BTC,15,3,0.3,868,868,86.1,30518.8,18.76,4.1,31518.8,182.7473,167
idealistic,BTC,15,3,0.4,408,408,88.2,15232.8,15.69,7.1,16232.8,112.8356,135
idealistic,BTC,15,3,0.5,221,221,88.7,8351.1,17.9,4.6,9351.1,80.299,104
idealistic,BTC,15,5,0.05,12538,5848,85.6,203036.8,31.27,5.7,204036.8,995.2784,204
idealistic,BTC,15,5,0.08,9268,5848,85.6,203036.8,31.27,5.7,204036.8,995.2784,204
idealistic,BTC,15,5,0.1,7627,5848,85.6,203036.8,31.27,5.7,204036.8,995.2784,204
idealistic,BTC,15,5,0.12,6341,5848,85.6,203036.8,31.27,5.7,204036.8,995.2784,204
idealistic,BTC,15,5,0.15,4762,4762,86.6,170214.2,27.68,6.2,171214.2,834.3833,204
idealistic,BTC,15,5,0.2,3034,3034,89.1,115969.4,23.69,5.1,116969.4,604.0073,192
idealistic,BTC,15,5,0.25,1999,1999,90.9,80050.9,20.57,5.1,81050.9,423.5497,189
idealistic,BTC,15,5,0.3,1327,1327,91.9,54355.7,19.06,2.6,55355.7,308.8392,176
idealistic,BTC,15,5,0.4,699,699,93.8,30020.9,17.54,3.9,31020.9,200.1393,150
idealistic,BTC,15,5,0.5,350,350,94.9,15385.0,16.94,4.1,16385.0,121.1417,127
idealistic,ETH,5,1,0.05,32580,32098,78.6,889611.8,63.69,10.6,890611.8,4276.9798,208
idealistic,ETH,5,1,0.08,22388,22388,81.8,691450.8,43.16,12.8,692450.8,3324.2827,208
idealistic,ETH,5,1,0.1,17490,17490,83.7,573059.0,36.05,8.5,574059.0,2755.0913,208
idealistic,ETH,5,1,0.12,13880,13880,85.1,474408.0,31.05,8.5,475408.0,2280.8077,208
idealistic,ETH,5,1,0.15,10018,10018,86.9,360383.8,26.05,4.6,361383.8,1749.4359,206
idealistic,ETH,5,1,0.2,5949,5949,88.6,224095.9,21.5,4.6,225095.9,1109.3856,202
idealistic,ETH,5,1,0.25,3755,3755,90.4,148470.5,18.26,6.2,149470.5,749.851,198
idealistic,ETH,5,1,0.3,2520,2520,91.7,102832.0,16.77,7.1,103832.0,538.3874,191
idealistic,ETH,5,1,0.4,1220,1220,93.0,51302.0,14.69,9.3,52302.0,303.5621,169
idealistic,ETH,5,1,0.5,688,688,93.8,29480.8,14.0,2.7,30480.8,197.8577,149
idealistic,ETH,5,2,0.05,36487,36487,84.0,1206611.7,79.6,7.9,1207611.7,5801.0178,208
idealistic,ETH,5,2,0.08,26547,26547,87.4,968857.7,51.18,3.9,969857.7,4657.9697,208
idealistic,ETH,5,2,0.1,21459,21459,89.0,817536.9,41.1,4.3,818536.9,3930.4659,208
idealistic,ETH,5,2,0.12,17532,17532,90.3,691321.2,35.14,4.4,692321.2,3323.6596,208
idealistic,ETH,5,2,0.15,13087,13087,91.6,532571.7,28.74,4.4,533571.7,2560.4409,208
idealistic,ETH,5,2,0.2,8421,8421,93.5,358671.1,23.35,2.9,359671.1,1741.1218,206
idealistic,ETH,5,2,0.25,5566,5566,94.2,241190.6,20.6,1.9,242190.6,1188.131,203
idealistic,ETH,5,2,0.3,3899,3899,95.2,172640.9,18.51,2.3,173640.9,876.3497,197
idealistic,ETH,5,2,0.4,1988,1988,96.3,90210.8,16.07,0.8,91210.8,490.2761,184
idealistic,ETH,5,2,0.5,1152,1152,97.7,53863.2,14.05,1.3,54863.2,314.9895,171
idealistic,ETH,5,3,0.05,39120,39120,89.2,1499892.0,90.1,4.8,1500892.0,7211.0192,208
idealistic,ETH,5,3,0.08,29598,29598,92.1,1219961.8,55.25,4.3,1220961.8,5865.201,208
idealistic,ETH,5,3,0.1,24585,24585,93.5,1047123.5,44.8,2.9,1048123.5,5034.2476,208
idealistic,ETH,5,3,0.12,20526,20526,94.6,896926.6,38.24,3.1,897926.6,4312.1471,208
idealistic,ETH,5,3,0.15,15788,15788,95.8,708690.8,31.62,3.1,709690.8,3423.6271,207
idealistic,ETH,5,3,0.2,10464,10464,96.8,479982.4,25.41,1.1,480982.4,2341.3776,205
idealistic,ETH,5,3,0.25,7186,7186,97.5,334732.6,21.38,1.7,335732.6,1632.842,205
idealistic,ETH,5,3,0.3,5142,5142,97.9,241772.2,19.13,0.4,242772.2,1196.8921,202
idealistic,ETH,5,3,0.4,2765,2765,98.2,130861.5,16.08,1.0,131861.5,674.5438,194
idealistic,ETH,5,3,0.5,1620,1620,98.9,77742.0,14.76,1.7,78742.0,446.7931,174
idealistic,ETH,15,1,0.05,11255,2569,75.3,62637.9,20.93,4.8,63637.9,321.22,195
idealistic,ETH,15,1,0.08,7814,2569,75.3,62637.9,20.93,4.8,63637.9,321.22,195
idealistic,ETH,15,1,0.1,6102,2569,75.3,62637.9,20.93,4.8,63637.9,321.22,195
idealistic,ETH,15,1,0.12,4844,2569,75.3,62637.9,20.93,4.8,63637.9,321.22,195
idealistic,ETH,15,1,0.15,3495,2569,75.3,62637.9,20.93,4.8,63637.9,321.22,195
idealistic,ETH,15,1,0.2,2088,2088,75.4,51120.8,19.14,4.2,52120.8,263.5093,194
idealistic,ETH,15,1,0.25,1296,1296,76.4,33033.6,16.07,4.1,34033.6,180.5115,183
idealistic,ETH,15,1,0.3,888,888,77.8,23900.8,15.19,4.9,24900.8,138.1549,173
idealistic,ETH,15,1,0.4,417,417,82.5,13174.7,14.7,9.4,14174.7,94.105,140
idealistic,ETH,15,1,0.5,226,226,84.1,7496.6,14.37,3.3,8496.6,72.7825,103
idealistic,ETH,15,2,0.05,12661,4000,78.8,111400.0,26.85,4.9,112400.0,548.7685,203
idealistic,ETH,15,2,0.08,9347,4000,78.8,111400.0,26.85,4.9,112400.0,548.7685,203
idealistic,ETH,15,2,0.1,7593,4000,78.8,111400.0,26.85,4.9,112400.0,548.7685,203
idealistic,ETH,15,2,0.12,6217,4000,78.8,111400.0,26.85,4.9,112400.0,548.7685,203
idealistic,ETH,15,2,0.15,4651,4000,78.8,111400.0,26.85,4.9,112400.0,548.7685,203
idealistic,ETH,15,2,0.2,2997,2997,80.3,88052.7,24.05,5.1,89052.7,438.0731,201
idealistic,ETH,15,2,0.25,1965,1965,82.8,62781.5,22.48,3.1,63781.5,321.9564,195
idealistic,ETH,15,2,0.3,1397,1397,84.1,46392.7,20.67,3.7,47392.7,245.464,189
idealistic,ETH,15,2,0.4,713,713,85.3,24508.3,17.64,3.6,25508.3,146.7563,167
idealistic,ETH,15,2,0.5,409,409,87.0,14781.9,16.98,4.1,15781.9,104.8362,141
idealistic,ETH,15,3,0.05,13705,5560,82.1,173296.0,30.78,8.5,174296.0,837.1787,207
idealistic,ETH,15,3,0.08,10541,5560,82.1,173296.0,30.78,8.5,174296.0,837.1787,207
idealistic,ETH,15,3,0.1,8789,5560,82.1,173296.0,30.78,8.5,174296.0,837.1787,207
idealistic,ETH,15,3,0.12,7358,5560,82.1,173296.0,30.78,8.5,174296.0,837.1787,207
idealistic,ETH,15,3,0.15,5721,5560,82.1,173296.0,30.78,8.5,174296.0,837.1787,207
idealistic,ETH,15,3,0.2,3790,3790,84.4,126989.0,26.89,4.3,127989.0,622.4951,204
idealistic,ETH,15,3,0.25,2614,2614,85.3,89947.4,22.93,3.5,90947.4,445.2842,202
idealistic,ETH,15,3,0.3,1874,1874,86.2,66113.4,21.19,4.1,67113.4,342.5565,193
idealistic,ETH,15,3,0.4,1030,1030,87.9,38073.0,18.77,2.8,39073.0,215.1017,177
idealistic,ETH,15,3,0.5,600,600,88.5,22560.0,16.13,3.8,23560.0,143.6943,157
idealistic,ETH,15,5,0.05,14725,8438,84.1,280405.8,41.93,14.6,281405.8,1348.1048,208
idealistic,ETH,15,5,0.08,11924,8438,84.1,280405.8,41.93,14.6,281405.8,1348.1048,208
idealistic,ETH,15,5,0.1,10345,8438,84.1,280405.8,41.93,14.6,281405.8,1348.1048,208
idealistic,ETH,15,5,0.12,8950,8438,84.1,280405.8,41.93,14.6,281405.8,1348.1048,208
idealistic,ETH,15,5,0.15,7187,7187,85.5,248481.7,36.64,14.6,249481.7,1194.6236,208
idealistic,ETH,15,5,0.2,5137,5137,87.6,188726.7,30.65,5.1,189726.7,920.618,205
idealistic,ETH,15,5,0.25,3728,3728,89.2,142944.8,25.09,3.0,143944.8,704.1616,203
idealistic,ETH,15,5,0.3,2744,2744,90.9,109830.4,22.1,3.8,110830.4,546.4199,201
idealistic,ETH,15,5,0.4,1573,1573,93.2,66534.3,19.19,1.8,67534.3,346.5328,192
idealistic,ETH,15,5,0.5,949,949,93.9,40795.9,17.74,2.8,41795.9,237.1855,172
